127.0.0.1 - - [14/Nov/2020:10:40:22 -0500] "GET / HTTP/1.1" 404 748
0:0:0:0:0:0:0:1 - - [14/Nov/2020:10:40:23 -0500] "GET /trainstation/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Nov/2020:10:40:24 -0500] "GET /trainstation/login HTTP/1.1" 200 639
0:0:0:0:0:0:0:1 - - [14/Nov/2020:10:40:41 -0500] "GET /trainstation HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Nov/2020:10:40:41 -0500] "GET /trainstation/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Nov/2020:10:40:41 -0500] "GET /trainstation/login HTTP/1.1" 200 639
0:0:0:0:0:0:0:1 - - [14/Nov/2020:10:40:42 -0500] "GET /favicon.ico HTTP/1.1" 404 759
0:0:0:0:0:0:0:1 - - [14/Nov/2020:10:40:48 -0500] "GET /trainstation/register HTTP/1.1" 200 2094
0:0:0:0:0:0:0:1 - - [14/Nov/2020:10:40:48 -0500] "GET /trainstation/assets/css/styles.css HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [14/Nov/2020:10:40:57 -0500] "GET /trainstation/admin HTTP/1.1" 200 3520
0:0:0:0:0:0:0:1 - - [14/Nov/2020:10:40:57 -0500] "GET /trainstation/assets/css/styles.css HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [14/Nov/2020:10:41:32 -0500] "POST /trainstation/login HTTP/1.1" 200 289
0:0:0:0:0:0:0:1 - - [14/Nov/2020:10:42:11 -0500] "GET /trainstation/logout? HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Nov/2020:10:42:11 -0500] "GET /trainstation/login HTTP/1.1" 200 639
0:0:0:0:0:0:0:1 - - [14/Nov/2020:10:43:52 -0500] "GET /trainstation/login HTTP/1.1" 200 679
0:0:0:0:0:0:0:1 - - [14/Nov/2020:10:43:52 -0500] "GET /trainstation/login HTTP/1.1" 200 679
0:0:0:0:0:0:0:1 - - [14/Nov/2020:10:50:02 -0500] "GET /trainstation/login HTTP/1.1" 200 798
0:0:0:0:0:0:0:1 - - [14/Nov/2020:10:50:03 -0500] "GET /trainstation/login HTTP/1.1" 200 798
0:0:0:0:0:0:0:1 - - [14/Nov/2020:10:50:14 -0500] "GET /trainstation/userRegister.jsp HTTP/1.1" 404 743
0:0:0:0:0:0:0:1 - - [14/Nov/2020:10:50:31 -0500] "GET /trainstation/login HTTP/1.1" 200 791
0:0:0:0:0:0:0:1 - - [14/Nov/2020:10:50:31 -0500] "GET /trainstation/login HTTP/1.1" 200 791
0:0:0:0:0:0:0:1 - - [14/Nov/2020:10:50:33 -0500] "GET /register HTTP/1.1" 404 756
0:0:0:0:0:0:0:1 - - [14/Nov/2020:10:50:48 -0500] "GET /trainstation/login HTTP/1.1" 200 804
0:0:0:0:0:0:0:1 - - [14/Nov/2020:10:50:48 -0500] "GET /trainstation/login HTTP/1.1" 200 804
0:0:0:0:0:0:0:1 - - [14/Nov/2020:10:50:49 -0500] "GET /trainstation/register HTTP/1.1" 200 2234
0:0:0:0:0:0:0:1 - - [14/Nov/2020:10:50:49 -0500] "GET /trainstation/assets/css/styles.css HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [14/Nov/2020:10:51:43 -0500] "GET /trainstation/login HTTP/1.1" 200 1694
0:0:0:0:0:0:0:1 - - [14/Nov/2020:10:51:43 -0500] "GET /trainstation/assets/css/styles.css HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [14/Nov/2020:10:54:29 -0500] "GET /trainstation/login HTTP/1.1" 200 1694
0:0:0:0:0:0:0:1 - - [14/Nov/2020:10:54:29 -0500] "GET /trainstation/assets/css/styles.css HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [14/Nov/2020:10:54:30 -0500] "GET /trainstation/register HTTP/1.1" 200 2361
0:0:0:0:0:0:0:1 - - [14/Nov/2020:10:54:30 -0500] "GET /trainstation/assets/css/styles.css HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [14/Nov/2020:10:54:31 -0500] "GET /trainstation/login HTTP/1.1" 200 1694
0:0:0:0:0:0:0:1 - - [14/Nov/2020:10:54:31 -0500] "GET /trainstation/assets/css/styles.css HTTP/1.1" 404 782
